2025-05-17 16:46:46,318 - INFO - Using device: mps
2025-05-17 16:46:49,932 - INFO - 
        ---------------------------------------------------------------
        Loaded checkpoint from model_run_6/checkpoint.pkl with following params:
        EPISODE: 850
        STEP: 832,922
        BEST REWARD: -11.0
        EPSILON: 0.0140
        ---------------------------------------------------------------
        
2025-05-17 17:32:37,265 - INFO - Episode 950, Total Reward: -20.0, Average Loss: 0.0020, Epsilon: 0.0100
2025-05-17 17:33:04,981 - INFO - Episode 951, Total Reward: -18.0, Average Loss: 0.0019, Epsilon: 0.0100
2025-05-17 17:33:33,811 - INFO - Episode 952, Total Reward: -18.0, Average Loss: 0.0019, Epsilon: 0.0100
2025-05-17 17:34:06,991 - INFO - Episode 953, Total Reward: -16.0, Average Loss: 0.0023, Epsilon: 0.0100
2025-05-17 17:34:33,394 - INFO - Episode 954, Total Reward: -21.0, Average Loss: 0.0021, Epsilon: 0.0100
2025-05-17 17:35:00,855 - INFO - Episode 955, Total Reward: -19.0, Average Loss: 0.0018, Epsilon: 0.0100
2025-05-17 17:35:29,752 - INFO - Episode 956, Total Reward: -16.0, Average Loss: 0.0019, Epsilon: 0.0100
2025-05-17 17:35:54,246 - INFO - Episode 957, Total Reward: -20.0, Average Loss: 0.0020, Epsilon: 0.0100
2025-05-17 17:36:13,472 - INFO - Episode 958, Total Reward: -21.0, Average Loss: 0.0019, Epsilon: 0.0100
2025-05-17 17:36:30,511 - INFO - Episode 959, Total Reward: -21.0, Average Loss: 0.0019, Epsilon: 0.0100
2025-05-17 17:37:04,938 - INFO - Episode 960, Total Reward: -18.0, Average Loss: 0.0019, Epsilon: 0.0100
2025-05-17 17:37:34,815 - INFO - Episode 961, Total Reward: -17.0, Average Loss: 0.0020, Epsilon: 0.0100
2025-05-17 17:37:58,698 - INFO - Episode 962, Total Reward: -20.0, Average Loss: 0.0019, Epsilon: 0.0100
2025-05-17 17:38:24,891 - INFO - Episode 963, Total Reward: -19.0, Average Loss: 0.0018, Epsilon: 0.0100
2025-05-17 17:38:53,995 - INFO - Episode 964, Total Reward: -20.0, Average Loss: 0.0018, Epsilon: 0.0100
2025-05-17 17:39:28,888 - INFO - Episode 965, Total Reward: -17.0, Average Loss: 0.0017, Epsilon: 0.0100
2025-05-17 17:40:01,421 - INFO - Episode 966, Total Reward: -19.0, Average Loss: 0.0017, Epsilon: 0.0100
2025-05-17 17:40:38,541 - INFO - Episode 967, Total Reward: -18.0, Average Loss: 0.0019, Epsilon: 0.0100
2025-05-17 17:41:08,879 - INFO - Episode 968, Total Reward: -19.0, Average Loss: 0.0016, Epsilon: 0.0100
2025-05-17 17:41:29,720 - INFO - Episode 969, Total Reward: -21.0, Average Loss: 0.0015, Epsilon: 0.0100
2025-05-17 17:42:03,744 - INFO - Episode 970, Total Reward: -18.0, Average Loss: 0.0019, Epsilon: 0.0100
2025-05-17 17:42:35,567 - INFO - Episode 971, Total Reward: -20.0, Average Loss: 0.0018, Epsilon: 0.0100
2025-05-17 17:43:13,509 - INFO - Episode 972, Total Reward: -20.0, Average Loss: 0.0018, Epsilon: 0.0100
2025-05-17 17:43:36,517 - INFO - Episode 973, Total Reward: -20.0, Average Loss: 0.0018, Epsilon: 0.0100
2025-05-17 17:44:09,291 - INFO - Episode 974, Total Reward: -16.0, Average Loss: 0.0018, Epsilon: 0.0100
2025-05-17 17:44:33,068 - INFO - Episode 975, Total Reward: -19.0, Average Loss: 0.0016, Epsilon: 0.0100
2025-05-17 17:44:56,465 - INFO - Episode 976, Total Reward: -20.0, Average Loss: 0.0019, Epsilon: 0.0100
2025-05-17 17:45:28,167 - INFO - Episode 977, Total Reward: -19.0, Average Loss: 0.0016, Epsilon: 0.0100
2025-05-17 17:45:55,660 - INFO - Episode 978, Total Reward: -21.0, Average Loss: 0.0016, Epsilon: 0.0100
2025-05-17 17:46:25,660 - INFO - Episode 979, Total Reward: -18.0, Average Loss: 0.0017, Epsilon: 0.0100
2025-05-17 17:46:50,457 - INFO - Episode 980, Total Reward: -21.0, Average Loss: 0.0017, Epsilon: 0.0100
2025-05-17 17:47:18,501 - INFO - Episode 981, Total Reward: -19.0, Average Loss: 0.0014, Epsilon: 0.0100
2025-05-17 17:47:45,952 - INFO - Episode 982, Total Reward: -17.0, Average Loss: 0.0016, Epsilon: 0.0100
2025-05-17 17:48:14,716 - INFO - Episode 983, Total Reward: -18.0, Average Loss: 0.0015, Epsilon: 0.0100
2025-05-17 17:48:48,859 - INFO - Episode 984, Total Reward: -19.0, Average Loss: 0.0015, Epsilon: 0.0100
2025-05-17 17:49:15,686 - INFO - Episode 985, Total Reward: -18.0, Average Loss: 0.0018, Epsilon: 0.0100
2025-05-17 17:49:39,137 - INFO - Episode 986, Total Reward: -21.0, Average Loss: 0.0015, Epsilon: 0.0100
2025-05-17 17:50:04,289 - INFO - Episode 987, Total Reward: -19.0, Average Loss: 0.0016, Epsilon: 0.0100
2025-05-17 17:50:25,222 - INFO - Episode 988, Total Reward: -20.0, Average Loss: 0.0015, Epsilon: 0.0100
2025-05-17 17:50:42,593 - INFO - Episode 989, Total Reward: -21.0, Average Loss: 0.0016, Epsilon: 0.0100
2025-05-17 17:51:07,142 - INFO - Episode 990, Total Reward: -18.0, Average Loss: 0.0017, Epsilon: 0.0100
2025-05-17 17:51:31,096 - INFO - Episode 991, Total Reward: -19.0, Average Loss: 0.0015, Epsilon: 0.0100
2025-05-17 17:51:56,008 - INFO - Episode 992, Total Reward: -18.0, Average Loss: 0.0014, Epsilon: 0.0100
2025-05-17 17:52:25,624 - INFO - Episode 993, Total Reward: -20.0, Average Loss: 0.0016, Epsilon: 0.0100
2025-05-17 17:52:54,157 - INFO - Episode 994, Total Reward: -20.0, Average Loss: 0.0017, Epsilon: 0.0100
2025-05-17 17:53:14,867 - INFO - Episode 995, Total Reward: -19.0, Average Loss: 0.0015, Epsilon: 0.0100
2025-05-17 17:53:34,892 - INFO - Episode 996, Total Reward: -21.0, Average Loss: 0.0016, Epsilon: 0.0100
2025-05-17 17:53:57,616 - INFO - Episode 997, Total Reward: -21.0, Average Loss: 0.0017, Epsilon: 0.0100
2025-05-17 17:54:21,104 - INFO - Episode 998, Total Reward: -19.0, Average Loss: 0.0015, Epsilon: 0.0100
2025-05-17 17:54:44,463 - INFO - Episode 999, Total Reward: -19.0, Average Loss: 0.0015, Epsilon: 0.0100
2025-05-17 17:55:06,292 - INFO - Updated target network at episode 1000
2025-05-17 17:55:06,294 - INFO - Episode 1000, Total Reward: -20.0, Average Loss: 0.0016, Epsilon: 0.0100
2025-05-17 17:55:21,419 - INFO - 
        ------------------------------------------------------------
        Saved checkpoint to model_run_6/checkpoint.pkl with following params:
        EPISODE: 1000
        STEP: 1,032,547
        BEST REWARD: -11.0
        EPSILON: 0.0100
        ------------------------------------------------------------
        
2025-05-17 17:55:21,420 - INFO - Checkpointing at episode 1000
2025-05-17 17:55:50,404 - INFO - Episode 1001, Total Reward: -17.0, Average Loss: 0.0091, Epsilon: 0.0100
2025-05-17 17:56:15,032 - INFO - Episode 1002, Total Reward: -19.0, Average Loss: 0.0051, Epsilon: 0.0100
2025-05-17 17:56:49,150 - INFO - Episode 1003, Total Reward: -16.0, Average Loss: 0.0038, Epsilon: 0.0100
2025-05-17 17:57:11,064 - INFO - Episode 1004, Total Reward: -20.0, Average Loss: 0.0034, Epsilon: 0.0100
2025-05-17 17:57:33,450 - INFO - Episode 1005, Total Reward: -19.0, Average Loss: 0.0031, Epsilon: 0.0100
2025-05-17 17:58:04,157 - INFO - Episode 1006, Total Reward: -20.0, Average Loss: 0.0027, Epsilon: 0.0100
2025-05-17 17:58:29,197 - INFO - Episode 1007, Total Reward: -20.0, Average Loss: 0.0025, Epsilon: 0.0100
2025-05-17 17:58:57,253 - INFO - Episode 1008, Total Reward: -17.0, Average Loss: 0.0024, Epsilon: 0.0100
2025-05-17 17:59:28,134 - INFO - Episode 1009, Total Reward: -17.0, Average Loss: 0.0024, Epsilon: 0.0100
2025-05-17 18:00:10,361 - INFO - Episode 1010, Total Reward: -11.0, Average Loss: 0.0024, Epsilon: 0.0100
2025-05-17 18:00:39,822 - INFO - Episode 1011, Total Reward: -17.0, Average Loss: 0.0023, Epsilon: 0.0100
2025-05-17 18:01:10,747 - INFO - Episode 1012, Total Reward: -18.0, Average Loss: 0.0021, Epsilon: 0.0100
